Borough,Date,Neighborhood,Positive,Test Positive Rate,Total,ZIPCODE,zcta_cum.perc_pos
Manhattan,2020-04-04,Lower Manhattan,29,0.37179487200000005,78,10007,37.18
Manhattan,2020-04-04,Lower East Side,253,0.43545611,581,10009,43.55
Manhattan,2020-04-04,Gramercy Park and Murray Hill,119,0.345930233,344,10010,34.59
Manhattan,2020-04-04,Chelsea and Clinton,267,0.46354166700000005,576,10011,46.35
Manhattan,2020-04-04,Greenwich Village and Soho,80,0.368663594,217,10012,36.87
Manhattan,2020-04-04,Greenwich Village and Soho,122,0.45018450200000004,271,10013,45.02
Manhattan,2020-04-04,Greenwich Village and Soho,168,0.470588235,357,10014,47.06
Manhattan,2020-04-04,Gramercy Park and Murray Hill,311,0.444285714,700,10016,44.43
Manhattan,2020-04-04,Gramercy Park and Murray Hill,63,0.344262295,183,10017,34.43
Manhattan,2020-04-04,Chelsea and Clinton,103,0.45777777799999997,225,10018,45.78
Manhattan,2020-04-04,Chelsea and Clinton,237,0.43726937299999996,542,10019,43.73
Manhattan,2020-04-04,Upper East Side,271,0.384397163,705,10021,38.44
