"date","location","value","min_suppressed","race_ethnicity","target"
2020-09-12,"37",4537,NA,"white","inc case"
2020-09-19,"37",4795,NA,"white","inc case"
2020-09-26,"37",4930,NA,"white","inc case"
2020-10-03,"37",6754,NA,"white","inc case"
2020-10-10,"37",7429,NA,"white","inc case"
2020-10-17,"37",7902,NA,"white","inc case"
2020-10-24,"37",8238,NA,"white","inc case"
2020-10-31,"37",8637,NA,"white","inc case"
2020-11-07,"37",9525,NA,"white","inc case"
2020-11-14,"37",12490,NA,"white","inc case"
2020-03-07,"37",0,NA,"black","inc case"
2020-03-14,"37",8,NA,"black","inc case"
2020-03-21,"37",173,NA,"black","inc case"
2020-03-28,"37",338,NA,"black","inc case"
2020-04-04,"37",448,NA,"black","inc case"
2020-04-11,"37",592,NA,"black","inc case"
2020-04-18,"37",675,NA,"black","inc case"
2020-04-25,"37",777,NA,"black","inc case"
2020-05-02,"37",559,NA,"black","inc case"
2020-05-09,"37",647,NA,"black","inc case"
2020-05-16,"37",707,NA,"black","inc case"
2020-05-23,"37",832,NA,"black","inc case"
2020-05-30,"37",746,NA,"black","inc case"
2020-06-06,"37",880,NA,"black","inc case"
2020-06-13,"37",974,NA,"black","inc case"
2020-06-20,"37",1091,NA,"black","inc case"
2020-06-27,"37",1565,NA,"black","inc case"
2020-07-04,"37",2005,NA,"black","inc case"
2020-07-11,"37",2394,NA,"black","inc case"
2020-07-18,"37",2616,NA,"black","inc case"
2020-07-25,"37",2379,NA,"black","inc case"
2020-08-01,"37",2054,NA,"black","inc case"
2020-08-08,"37",1762,NA,"black","inc case"
2020-08-15,"37",1701,NA,"black","inc case"
2020-08-22,"37",1686,NA,"black","inc case"
2020-08-29,"37",1796,NA,"black","inc case"
2020-09-05,"37",1468,NA,"black","inc case"
2020-09-12,"37",1341,NA,"black","inc case"
2020-09-19,"37",1609,NA,"black","inc case"
2020-09-26,"37",1622,NA,"black","inc case"
2020-10-03,"37",1810,NA,"black","inc case"
2020-10-10,"37",1824,NA,"black","inc case"
2020-10-17,"37",2307,NA,"black","inc case"
2020-10-24,"37",2707,NA,"black","inc case"
2020-10-31,"37",2447,NA,"black","inc case"
2020-11-07,"37",2819,NA,"black","inc case"
2020-11-14,"37",3736,NA,"black","inc case"
2020-03-07,"37",0,NA,"other","inc case"
2020-03-14,"37",3,NA,"other","inc case"
2020-03-21,"37",26,NA,"other","inc case"
2020-03-28,"37",65,NA,"other","inc case"
2020-04-04,"37",77,NA,"other","inc case"
2020-04-11,"37",154,NA,"other","inc case"
2020-04-18,"37",222,NA,"other","inc case"
2020-04-25,"37",371,NA,"other","inc case"
2020-05-02,"37",428,NA,"other","inc case"
2020-05-09,"37",492,NA,"other","inc case"
2020-05-16,"37",681,NA,"other","inc case"
2020-05-23,"37",900,NA,"other","inc case"
2020-05-30,"37",1162,NA,"other","inc case"
2020-06-06,"37",1624,NA,"other","inc case"
2020-06-13,"37",1679,NA,"other","inc case"
2020-06-20,"37",1577,NA,"other","inc case"
2020-06-27,"37",1672,NA,"other","inc case"
2020-07-04,"37",1715,NA,"other","inc case"
2020-07-11,"37",1883,NA,"other","inc case"
2020-07-18,"37",1964,NA,"other","inc case"
2020-07-25,"37",1872,NA,"other","inc case"
2020-08-01,"37",1587,NA,"other","inc case"
2020-08-08,"37",1259,NA,"other","inc case"
2020-08-15,"37",1187,NA,"other","inc case"
2020-08-22,"37",1402,NA,"other","inc case"
2020-08-29,"37",1618,NA,"other","inc case"
2020-09-05,"37",1278,NA,"other","inc case"
2020-09-12,"37",1020,NA,"other","inc case"
2020-09-19,"37",915,NA,"other","inc case"
2020-09-26,"37",974,NA,"other","inc case"
2020-10-03,"37",1312,NA,"other","inc case"
2020-10-10,"37",1466,NA,"other","inc case"
2020-10-17,"37",1598,NA,"other","inc case"
2020-10-24,"37",1629,NA,"other","inc case"
2020-10-31,"37",1621,NA,"other","inc case"
2020-11-07,"37",1949,NA,"other","inc case"
2020-11-14,"37",2452,NA,"other","inc case"
2020-03-07,"37",0,NA,"asian","inc case"
2020-03-14,"37",2,NA,"asian","inc case"
2020-03-21,"37",20,NA,"asian","inc case"
2020-03-28,"37",20,NA,"asian","inc case"
2020-04-04,"37",27,NA,"asian","inc case"
2020-04-11,"37",29,NA,"asian","inc case"
2020-04-18,"37",14,NA,"asian","inc case"
2020-04-25,"37",67,NA,"asian","inc case"
2020-05-02,"37",106,NA,"asian","inc case"
2020-05-09,"37",99,NA,"asian","inc case"
2020-05-16,"37",157,NA,"asian","inc case"
2020-05-23,"37",169,NA,"asian","inc case"
2020-05-30,"37",120,NA,"asian","inc case"
2020-06-06,"37",126,NA,"asian","inc case"
2020-06-13,"37",141,NA,"asian","inc case"
2020-06-20,"37",114,NA,"asian","inc case"
2020-06-27,"37",146,NA,"asian","inc case"
2020-07-04,"37",108,NA,"asian","inc case"
2020-07-11,"37",145,NA,"asian","inc case"
2020-07-18,"37",149,NA,"asian","inc case"
2020-07-25,"37",135,NA,"asian","inc case"
2020-08-01,"37",151,NA,"asian","inc case"
2020-08-08,"37",171,NA,"asian","inc case"
2020-08-15,"37",168,NA,"asian","inc case"
2020-08-22,"37",249,NA,"asian","inc case"
2020-08-29,"37",230,NA,"asian","inc case"
2020-09-05,"37",203,NA,"asian","inc case"
2020-09-12,"37",156,NA,"asian","inc case"
2020-09-19,"37",192,NA,"asian","inc case"
2020-09-26,"37",164,NA,"asian","inc case"
2020-10-03,"37",161,NA,"asian","inc case"
2020-10-10,"37",168,NA,"asian","inc case"
2020-10-17,"37",179,NA,"asian","inc case"
2020-10-24,"37",248,NA,"asian","inc case"
2020-10-31,"37",244,NA,"asian","inc case"
2020-11-07,"37",248,NA,"asian","inc case"
2020-11-14,"37",330,NA,"asian","inc case"
2020-04-18,"6",2605,NA,"asian","inc case"
2020-04-25,"6",833,NA,"asian","inc case"
2020-05-02,"6",806,NA,"asian","inc case"
2020-05-09,"6",691,NA,"asian","inc case"
2020-05-16,"6",869,NA,"asian","inc case"
2020-05-23,"6",714,NA,"asian","inc case"
2020-05-30,"6",691,NA,"asian","inc case"
2020-06-06,"6",612,NA,"asian","inc case"
2020-06-13,"6",529,NA,"asian","inc case"
2020-06-20,"6",591,NA,"asian","inc case"
2020-06-27,"6",783,NA,"asian","inc case"
2020-07-04,"6",1289,NA,"asian","inc case"
2020-07-11,"6",1460,NA,"asian","inc case"
2020-07-18,"6",1714,NA,"asian","inc case"
2020-07-25,"6",1903,NA,"asian","inc case"
2020-08-01,"6",1686,NA,"asian","inc case"
2020-08-08,"6",1883,NA,"asian","inc case"
2020-08-15,"6",2166,NA,"asian","inc case"
2020-08-22,"6",1759,NA,"asian","inc case"
2020-08-29,"6",1716,NA,"asian","inc case"
2020-09-05,"6",1587,NA,"asian","inc case"
2020-09-12,"6",1443,NA,"asian","inc case"
2020-09-19,"6",1317,NA,"asian","inc case"
2020-09-26,"6",1194,NA,"asian","inc case"
2020-10-03,"6",1149,NA,"asian","inc case"
2020-10-10,"6",1048,NA,"asian","inc case"
2020-10-17,"6",932,NA,"asian","inc case"
2020-10-24,"6",1364,NA,"asian","inc case"
2020-10-31,"6",1292,NA,"asian","inc case"
2020-11-07,"6",1758,NA,"asian","inc case"
2020-11-14,"6",2489,NA,"asian","inc case"
2020-04-18,"6",1376,NA,"black","inc case"
2020-04-25,"6",463,NA,"black","inc case"
2020-05-02,"6",450,NA,"black","inc case"
2020-05-09,"6",452,NA,"black","inc case"
2020-05-16,"6",480,NA,"black","inc case"
2020-05-23,"6",439,NA,"black","inc case"
2020-05-30,"6",477,NA,"black","inc case"
2020-06-06,"6",438,NA,"black","inc case"
2020-06-13,"6",391,NA,"black","inc case"
2020-06-20,"6",519,NA,"black","inc case"
2020-06-27,"6",824,NA,"black","inc case"
2020-07-04,"6",1123,NA,"black","inc case"
